vocabulary_id	vocabulary_name	vocabulary_reference	vocabulary_version	vocabulary_concept_id
Relationship	OMOP Relationship	OMOP generated		44819235
US Census	United States Census Bureau	https://www.census.gov/geo/maps-data/data/tiger-cart-boundary.html	US Census 2017 Release	32570
Plan Stop Reason	Plan Stop Reason - Reason for termination of the Health Plan	OMOP generated		32474
Cost Type	OMOP Cost Type	OMOP generated		5029
SNOMED	Systematic Nomenclature of Medicine - Clinical Terms (IHTSDO)	http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html	2021-07-31 SNOMED CT International Edition; 2021-09-01 SNOMED CT US Edition; 2021-11-24 SNOMED CT UK Edition	44819097
ICD10	International Classification of Diseases, Tenth Revision (WHO)	http://www.who.int/classifications/icd/icdonlineversions/en/	2021 Release	44819124
SOPT	Source of Payment Typology (PHDSC)	https://www.nahdo.org/sopt	SOPT Version 9.2	32473
Visit	OMOP Visit	OMOP generated	Visit 20211216	44819119
Device Type	OMOP Device Type	OMOP generated		44819151
Obs Period Type	OMOP Observation Period Type	OMOP generated		44819149
UB04 Point of Origin	UB04 Claim Source Inpatient Admission Code (CMS)	https://www.resdac.org/cms-data/variables/Claim-Source-Inpatient-Admission-Code		32045
Sponsor	Sponsor - institution or individual financing healthcare transactions	OMOP generated		32472
UB04 Pt dis status	UB04 Patient Discharge Status Code (CMS)	https://www.resdac.org/cms-data/variables/patient-discharge-status-code		32047
CDM	OMOP Common DataModel	https://github.com/OHDSI/CommonDataModel	CDM v6.0.0	32485
Note Type	OMOP Note Type	OMOP generated		44819146
SNOMED Veterinary	SNOMED Veterinary	https://vtsl.vetmed.vt.edu/extension/	SNOMED Veterinary 20190401	32549
Condition Status	OMOP Condition Status	OMOP generated		32887
RxNorm	RxNorm (NLM)	http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html	RxNorm 20221003	44819104
Episode	OMOP Episode	OMOP generated	Episode 20201014	32523
Read	NHS UK Read Codes Version 2 (HSCIC)	http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html	NHS READV2 21.0.0 20160401000001 + DATAMIGRATION_25.0.0_20180403000001	44819113
Cost	OMOP Cost	OMOP generated		581457
OMOP Extension	OMOP Extension (OHDSI)	OMOP generated	OMOP Extension 20221026	32758
Metadata	Metadata	OMOP generated		32675
Meas Type	OMOP Measurement Type	OMOP generated		44819152
UB04 Typ bill	UB04 Type of Bill - Institutional (USHIK)	https://ushik.ahrq.gov/ViewItemDetails?&system=apcd&itemKey=196987000		32044
Procedure Type	OMOP Procedure Occurrence Type	OMOP generated		44819128
Vocabulary	OMOP Vocabulary	OMOP generated		44819232
Observation Type	OMOP Observation Type	OMOP generated		44819129
UB04 Pri Typ of Adm	UB04 Claim Inpatient Admission Type Code (CMS)	https://www.resdac.org/cms-data/variables/Claim-Inpatient-Admission-Type-Code		32046
Korean Revenue Code	Korean Revenue Code	OMOP generated		32724
Type Concept	OMOP Type Concept	OMOP generated	Type Concept 20221030	32808
Condition Type	OMOP Condition Occurrence Type	OMOP generated		44819127
UK Biobank	UK Biobank	https://biobank.ctsu.ox.ac.uk/showcase/schema.cgi; https://biobank.ctsu.ox.ac.uk/crystal/refer.cgi?id=141140	version 2020-10-15	32976
Drug Type	OMOP Drug Exposure Type	OMOP generated		44819126
UCUM	Unified Code for Units of Measure (Regenstrief Institute)	http://aurora.regenstrief.org/~ucum/ucum.html#section-Alphabetic-Index	Version 1.8.2	44819107
Domain	OMOP Domain	OMOP generated		44819147
None	OMOP Standardized Vocabularies	OMOP generated	v5.0 31-OCT-22	44819096
Visit Type	OMOP Visit Type	OMOP generated		44819150
Death Type	OMOP Death Type	OMOP generated		44819135
OSM	OpenStreetMap	https://www.openstreetmap.org/copyright/en, https://wambachers-osm.website/boundaries/	OSM Release 2019-02-21	32541
Concept Class	OMOP Concept Class	OMOP generated		44819233
Cohort Type	OMOP Cohort Type	OMOP generated		44819234
Plan	Health Plan - contract to administer healthcare transactions by the payer, facilitated by the sponsor	OMOP generated		32471
LOINC	Logical Observation Identifiers Names and Codes (Regenstrief Institute)	http://loinc.org/downloads/loinc	LOINC 2.72	44819102
